Latitude,Longitude,Disaster Type,Country,Region,Start Year,Total Deaths,Total Affected,Total Damage ('000 US$)
-6.19,106.85,Flood,Indonesia,Asia,2008,3.0,89761.0,
-1.25,-79.66,Flood,Ecuador,Americas,2008,41.0,289122.0,1000000.0
52.92,-1.65,Flood,United Kingdom of Great Britain and Northern Ireland,Europe,2008,,2000.0,
42.3,68.55,Flood,Kazakhstan,Asia,2008,1.0,13000.0,130000.0
2.68,-75.42,Flood,Colombia,Americas,2008,11.0,,
10.76,78.72,Flood,India,Asia,2008,37.0,10278.0,2000.0
-4.4831667,137.69,Mass movement (wet),Indonesia,Asia,2008,21.0,,
17.3,-88.1,Storm,Belize,Americas,2008,7.0,10000.0,
23.542,112.3,Storm,China,Asia,2008,14.0,340000.0,175000.0
30.87,113.03,Flood,China,Asia,2008,3.0,780000.0,19000.0
22.05,105.21,Storm,Viet Nam,Asia,2008,162.0,57630.0,120000.0
9.233,18.35,Flood,Chad,Africa,2008,,6450.0,
3.48,32.24,Flood,Algeria,Africa,2008,93.0,59050.0,348000.0
15.86,-89.28,Flood,Honduras,Americas,2008,67.0,313357.0,
-1.72,29.89,Flood,Rwanda,Africa,2008,,11346.0,
22.044,94.55,Flood,India,Asia,2008,47.0,2600000.0,20000.0
15.54,49.78,Flood,Yemen,Asia,2008,90.0,25064.0,400000.0
0.05,35.12,Flood,Kenya,Africa,2008,17.0,30770.0,
19.16,109.82,Flood,China,Asia,2008,3.0,50000.0,
36.16,45.11,Flood,Iraq,Asia,2008,4.0,600.0,
9.77,-66.4,Flood,Venezuela (Bolivarian Republic of),Americas,2008,8.0,1500.0,
-30.05,151.49,Storm,Australia,Oceania,2008,1.0,12000.0,450000.0
15.7,107.71,Storm,Viet Nam,Asia,2008,17.0,8828.0,1000.0
41.83,13.16,Flood,Italy,Europe,2008,3.0,,278000.0
7.01,-58.58,Flood,Guyana,Americas,2008,,100000.0,
18.89,107.06,Flood,Viet Nam,Asia,2008,9.0,20000.0,
6.64,101.1,Flood,Malaysia,Asia,2008,,6000.0,
47.61,24.93,Flood,Romania,Europe,2009,11.0,,
29.61,0.71,Flood,Algeria,Africa,2009,33.0,2548.0,
-24.15,-64.29,Mass movement (wet),Argentina,Americas,2009,4.0,20000.0,15000.0
16.68,-17.08,Flood,Angola,Africa,2009,60.0,220000.0,
-18.76,24.23,Flood,Zambia,Africa,2009,31.0,614814.0,
-18.76,-62.62,Flood,Bolivia (Plurinational State of),Americas,2009,,63000.0,
30.84,-85.23,Flood,United States of America,Americas,2009,,1000.0,
-33.07,18.92,Flood,South Africa,Africa,2009,11.0,20000.0,
50.13,18.03,Flood,Czechia,Europe,2009,13.0,14450.0,150000.0
13.42,-88.64,Flood,Guatemala,Americas,2009,,10800.0,
26.85,110.28,Flood,China,Asia,2009,11.0,106000.0,59000.0
20.67,104.3,Flood,Viet Nam,Asia,2009,20.0,700000.0,
15.58,-16.81,Flood,Senegal,Africa,2009,6.0,264000.0,
41.09,38.95,Flood,Türkiye,Asia,2009,40.0,35020.0,550000.0
8.85,-0.99,Flood,Ghana,Africa,2009,24.0,139790.0,
27.01,15.98,Flood,Sudan,Africa,2009,20.0,111455.0,
38.11,15.73,Flood,Italy,Europe,2009,35.0,5140.0,20000.0
29.81,80.76,Flood,Nepal,Asia,2009,87.0,257786.0,60000.0
13.77,-89.0,Storm,El Salvador,Americas,2009,275.0,90000.0,939000.0
11.47,77.85,Flood,India,Asia,2009,70.0,8.0,64000.0
-6.77,35.89,Flood,United Republic of Tanzania,Africa,2009,20.0,,
-32.42,149.59,Flood,Australia,Oceania,2010,,,
