Country,year,annual_temp,baseline_temp,anomaly,anomaly_smooth
Chile,2001,9.819666666666667,9.580866666666667,0.23879999999999946,0.22596666666666643
Chile,2002,9.742416666666665,9.580866666666667,0.1615499999999983,0.3012166666666662
Chile,2003,10.078416666666667,9.580866666666667,0.4975500000000004,0.36676666666666585
Chile,2004,10.205833333333333,9.580866666666667,0.6249666666666656,0.43763333333333243
Chile,2005,9.891833333333333,9.580866666666667,0.3109666666666655,0.3871333333333329
Chile,2006,10.174,9.580866666666667,0.5931333333333324,0.4039499999999993
Chile,2007,9.489916666666668,9.580866666666667,-0.09094999999999942,0.361666666666666
Chile,2008,10.1625,9.580866666666667,0.5816333333333326,0.3258666666666663
Chile,2009,9.994416666666666,9.580866666666667,0.413549999999999,0.2975166666666663
Chile,2010,9.712833333333334,9.580866666666667,0.131966666666667,0.45404999999999945
Chile,2011,10.03225,9.580866666666667,0.45138333333333236,0.3970249999999993
Chile,2012,10.272583333333333,9.580866666666667,0.6917166666666663,0.3928937499999994
Chile,2013,9.877374999999999,9.580866666666667,0.2965083333333318,0.4798694444444435
Iran,1850,16.77825,17.710008333333334,-0.9317583333333346,-0.5479250000000006
Iran,1851,17.4675,17.710008333333334,-0.24250833333333333,-0.5224250000000001
Iran,1852,17.2405,17.710008333333334,-0.46950833333333364,-0.5635750000000002
Iran,1853,17.264083333333335,17.710008333333334,-0.445924999999999,-0.42779166666666624
Iran,1854,16.981833333333334,17.710008333333334,-0.7281750000000002,-0.5263916666666659
Iran,1855,17.45716666666667,17.710008333333334,-0.2528416666666651,-0.6555416666666659
Iran,1856,16.974500000000003,17.710008333333334,-0.7355083333333319,-0.6481916666666663
Iran,1857,16.59475,17.710008333333334,-1.1152583333333332,-0.5522916666666667
Iran,1858,17.300833333333333,17.710008333333334,-0.4091750000000012,-0.5914583333333333
Iran,1859,17.461333333333332,17.710008333333334,-0.2486750000000022,-0.6768750000000004
Iran,1860,17.261333333333337,17.710008333333334,-0.44867499999999794,-0.7333916666666674
Iran,1861,16.547416666666667,17.710008333333334,-1.1625916666666676,-0.830758333333334
Iran,1862,16.312166666666666,17.710008333333334,-1.3978416666666682,-0.9324583333333336
Iran,1863,16.814,17.710008333333334,-0.8960083333333344,-0.934458333333334
Iran,1864,16.952833333333334,17.710008333333334,-0.7571750000000002,-0.8487083333333338
Iran,1865,17.251333333333335,17.710008333333334,-0.4586749999999995,-0.6366750000000003
Iran,1866,16.976166666666668,17.710008333333334,-0.7338416666666667,-0.5331916666666672
Iran,1867,17.372333333333334,17.710008333333334,-0.33767500000000084,-0.41427500000000067
Iran,1868,17.331416666666666,17.710008333333334,-0.37859166666666866,-0.37280833333333446
Iran,1869,17.547416666666667,17.710008333333334,-0.16259166666666758,-0.3184083333333348
Iran,1870,17.458666666666666,17.710008333333334,-0.2513416666666686,-0.28994166666666815
Iran,1871,17.248166666666666,17.710008333333334,-0.46184166666666826,-0.22292500000000076
Iran,1872,17.514666666666667,17.710008333333334,-0.19534166666666763,-0.2535750000000007
Iran,1873,17.666500000000003,17.710008333333334,-0.043508333333331706,-0.2549416666666673
Iran,1874,17.394166666666667,17.710008333333334,-0.31584166666666746,-0.23999166666666696
Iran,1875,17.451833333333333,17.710008333333334,-0.2581750000000014,-0.21024166666666702
Iran,1876,17.322916666666668,17.710008333333334,-0.3870916666666666,-0.20472500000000055
Iran,1877,17.663416666666667,17.710008333333334,-0.04659166666666792,-0.1504416666666671
Iran,1878,17.694083333333335,17.710008333333334,-0.0159249999999993,-0.23345833333333346
Iran,1879,17.665583333333334,17.710008333333334,-0.04442500000000038,-0.14535833333333342
Iran,1880,17.03675,17.710008333333334,-0.6732583333333331,-0.2838416666666667
Iran,1881,17.763416666666668,17.710008333333334,0.0534083333333335,-0.32764166666666694
Iran,1882,16.971,17.710008333333334,-0.7390083333333344,-0.44452500000000017
Iran,1883,17.475083333333334,17.710008333333334,-0.2349250000000005,-0.4514083333333339
Iran,1884,17.081166666666668,17.710008333333334,-0.6288416666666663,-0.6093250000000004
Iran,1885,17.002333333333333,17.710008333333334,-0.7076750000000018,-0.5530250000000002
Iran,1886,16.973833333333335,17.710008333333334,-0.7361749999999994,-0.4856250000000003
Iran,1887,17.2525,17.710008333333334,-0.4575083333333332,-0.403775000000001
Iran,1888,17.812083333333334,17.710008333333334,0.10207499999999925,-0.34522500000000067
Iran,1889,17.490416666666665,17.710008333333334,-0.21959166666666974,-0.3040083333333342
Iran,1890,17.295083333333334,17.710008333333334,-0.4149250000000002,-0.22887500000000074
Iran,1891,17.179916666666667,17.710008333333334,-0.5300916666666673,-0.3182250000000003
Iran,1892,17.62816666666667,17.710008333333334,-0.0818416666666657,-0.4131916666666662
Iran,1893,17.365333333333336,17.710008333333334,-0.34467499999999873,-0.4223416666666665
Iran,1894,17.015583333333336,17.710008333333334,-0.694424999999999,-0.42807499999999976
Iran,1895,17.249333333333333,17.710008333333334,-0.46067500000000194,-0.5172583333333336
Iran,1896,17.15125,17.710008333333334,-0.5587583333333335,-0.6238583333333338
Iran,1897,17.18225,17.710008333333334,-0.5277583333333347,-0.44965833333333405
Iran,1898,16.832333333333334,17.710008333333334,-0.877675,-0.47519166666666734
Iran,1899,17.886583333333334,17.710008333333334,0.1765749999999997,-0.32672500000000043
Iran,1900,17.121666666666666,17.710008333333334,-0.5883416666666683,-0.16450833333333392
Iran,1901,17.893583333333336,17.710008333333334,0.18357500000000115,-0.15912500000000093
Iran,1902,17.993333333333332,17.710008333333334,0.28332499999999783,-0.2785416666666677
Iran,1903,16.85925,17.710008333333334,-0.8507583333333351,-0.284875000000001
Iran,1904,17.2895,17.710008333333334,-0.42050833333333415,-0.41834166666666806
Iran,1905,17.09,17.710008333333334,-0.6200083333333346,-0.6495583333333343
Iran,1906,17.22625,17.710008333333334,-0.4837583333333342,-0.548608333333334
Iran,1907,16.83725,17.710008333333334,-0.8727583333333335,-0.4544250000000005
Iran,1908,17.364,17.710008333333334,-0.3460083333333337,-0.47082500000000066
Iran,1909,17.760416666666668,17.710008333333334,0.05040833333333339,-0.6753583333333346
Iran,1910,17.008,17.710008333333334,-0.7020083333333353,-0.5347750000000012
